id,first_name,car_model_year,country,credit_card,language,university
1,Lucky,1995,Mexico,jcb,Ndebele,Universidad Autónoma Metropolitana - Xochimilco
2,Ivette,2011,Mexico,jcb,Punjabi,Instituto Politécnico Nacional
3,Clarinda,1990,Mexico,diners-club-carte-blanche,Pashto,Instituto Tecnológico de Aguascalientes
4,Emlyn,2003,Mexico,jcb,Burmese,"Universidad Pedagógica Nacional, Unidad León"
5,Lorant,1998,Mexico,diners-club-carte-blanche,Marathi,Universidad Jóse Vasconcelos
6,Tod,1998,Mexico,jcb,Danish,Universidad de Monterrey
7,Ker,2008,Mexico,jcb,French,Universidad de San Miguel
8,Dolli,2000,Mexico,diners-club-carte-blanche,Malayalam,Universidad de las Américas
9,Sonja,2004,Mexico,visa-electron,Irish Gaelic,Universidad Mesoamericana de San Agustín
10,Alford,1997,Mexico,americanexpress,Malagasy,Instituto Tecnológico de León
11,Abner,1994,Mexico,china-unionpay,Tswana,Escuela Bancaria y Comercial
12,Alexei,2003,Mexico,jcb,English,Universidad Autónoma de Baja California
13,Corabelle,1993,Mexico,jcb,Kashmiri,Instituto Tecnológico de León
14,Shandy,2008,Mexico,mastercard,Filipino,Universidad Chapultepéc
15,Jyoti,2012,Mexico,jcb,Korean,Universidad Autónoma de Querétaro
16,Karoly,2006,Mexico,jcb,Croatian,Universidad Santa Fe
17,Giulio,2000,Mexico,mastercard,Italian,Universidad Tecnológica de México
18,Dennet,1967,Mexico,jcb,Khmer,Universidad del Bajío
19,Burton,1998,Mexico,diners-club-international,Kurdish,Universidad Autónoma de Tlaxcala
20,Gerrilee,1980,Mexico,solo,Korean,Universidad Metropolitana Latin Campus
21,Piper,2012,Mexico,maestro,Afrikaans,Universidad Nacional Autónoma de México
22,Mady,2010,Mexico,visa-electron,Pashto,Universidad de Montemorelos
23,Blisse,1997,Mexico,visa,Czech,Dirección General de Institutos Tecnológicos
24,Corrinne,2001,Mexico,jcb,Finnish,Universidad de Montemorelos
25,Reagan,1999,Mexico,mastercard,Burmese,Universidad del Centro de México
26,Bastien,2000,Mexico,mastercard,Dhivehi,Universidad del Norte
27,Giselle,2004,Mexico,diners-club-carte-blanche,Oriya,Universidad Tecnologica de Nezahualcoyotl
28,Maxy,2009,Mexico,instapayment,Swati,Universidad de León
29,Tory,2001,Mexico,jcb,Lao,"Universidad Pedagógica Nacional, Unidad León"
30,Maurise,1995,Mexico,mastercard,Croatian,Universidad Autónoma de Querétaro
31,Thekla,1996,Mexico,jcb,Armenian,Universidad Juárez Autónoma de Tabasco
32,Horace,1988,Mexico,jcb,Maltese,Universidad de San Miguel
33,Nealon,2005,Mexico,laser,Afrikaans,CETYS Universidad
